NAME,FPTS_WK1,FPTS_WK2,FPTS_WK3,FPTS_WK4,FPTS_WK5,FPTS_WK6,FPTS_WK7,FPTS_WK8,FPTS_WK9,FPTS_WK10,FPTS_WK11,FPTS_WK12,FPTS_WK13,FPTS_WK14,FPTS_WK15,FPTS_WK16,FPTS_WK17,FPTS_WK18,TEAM
Cameron Latu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI
Carter Runyon,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV
Charlie Kolar,0.0,0.0,4.2,0.0,2.0,0.0,0.0,8.0,10.3,3.3,0.0,0.0,2.7,2.9,0.0,2.8,0.0,0.0,BAL
Charlie Woerner,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,5.4,0.0,0.0,3.2,1.3,0.0,0.0,ATL
Chig Okonkwo,4.9,7.5,11.6,1.4,8.8,10.6,0.0,9.3,3.0,0.0,8.6,7.0,6.9,4.0,7.3,16.4,14.5,2.2,TEN
Chris Manhertz,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG
Colby Parkinson,-0.6,0.0,0.0,3.7,0.0,0.0,7.7,0.0,3.0,14.1,9.4,14.1,6.7,12.2,24.5,4.1,11.3,19.6,LAR
Cole Kmet,4.1,4.9,8.0,7.6,0.0,1.0,2.6,0.0,2.0,1.5,9.5,1.3,12.6,6.2,4.8,3.4,3.6,5.6,CHI
Cole Turner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN
Colson Yankoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,2.4,0.0,0.0,0.0,0.0,0.0,WAS
Colston Loveland,3.2,0.0,4.1,0.0,0.0,3.1,5.4,6.8,29.8,9.5,7.0,14.9,5.8,12.9,10.1,6.0,21.4,25.1,CHI
Connor Heyward,0.0,1.6,0.0,0.2,0.0,8.2,0.0,0.0,0.4,0.0,0.3,0.0,0.0,0.2,6.4,0.0,2.6,7.5,PIT
Dalton Kincaid,14.8,7.7,17.6,9.8,16.8,0.0,0.0,3.3,22.1,5.7,0.0,0.0,0.0,14.1,6.4,0.0,0.0,7.8,BUF
Dalton Schultz,5.8,5.9,8.9,8.0,11.0,0.0,18.8,4.4,13.7,18.3,11.1,1.8,12.5,5.2,21.6,14.5,4.9,11.3,HOU
Daniel Bellinger,2.4,0.0,1.6,2.3,9.2,0.0,17.8,3.1,0.0,1.8,0.0,0.0,0.0,0.0,6.5,0.0,3.1,11.8,NYG
David Martin-Robinson,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.9,2.4,TEN
Davis Allen,8.3,7.8,1.3,1.0,4.4,1.7,1.4,0.0,6.7,8.8,0.0,5.9,1.4,4.1,4.6,5.4,0.0,0.0,LAR
Dawson Knox,4.0,3.9,0.0,0.0,3.5,8.9,0.0,2.5,4.0,6.7,3.3,4.7,5.8,17.3,18.7,2.0,8.0,10.4,BUF
Devin Culp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,TB
Drake Dabney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,GB
Drew Sample,0.0,1.7,10.0,0.0,0.9,0.8,0.0,0.0,0.0,0.0,0.0,1.0,2.7,0.0,3.2,5.1,1.8,4.7,CIN
Durham Smythe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.4,0.0,1.2,0.0,0.0,2.1,0.0,CHI
